date,ystar_mean,ystar_sd,ystar_q025,ystar_q975,unrstar_mean,unrstar_sd,unrstar_q025,unrstar_q975,prtstar_mean,prtstar_sd,prtstar_q025,prtstar_q975,cycle_mean,cycle_sd,cycle_q025,cycle_q975,prt_cycle_mean,prt_cycle_sd,prt_cycle_q025,prt_cycle_q975
1966-09-01,233.4969027025,0.08688228112057536,233.35742825,233.694503,1.73632761035,0.026856485344706787,1.6777445,1.7778438175,60.7491027985,0.026438077926175065,60.706481100000005,60.809610975000005,-0.15360732522454,0.08688231417652148,-0.35120457825,-0.014134347899999993,-0.04012631783354625,0.02643805965487401,-0.1006341925,0.0024954841700000102
1966-12-01,233.8134934875,0.12182258949283611,233.6023085,234.09146750000002,1.61316070815,0.04482683295401127,1.5160357450000002,1.683241765,60.71145778825,0.033725793763611546,60.652174349999996,60.788142474999994,-0.14636862328207126,0.12182248729163353,-0.42434305499999997,0.0648192439250001,-0.0351500150302146,0.03372616347454078,-0.11183361225,0.024133855125000006
1967-03-01,236.8934906775,0.13083270437222258,236.66047799999998,237.1756455,1.727959993575,0.045949068435804666,1.6267136425,1.8055551250000001,60.71947549025,0.037406984269464184,60.651382425,60.800034025,-0.10704906042948975,0.13083272516142444,-0.38919976475,0.1259673902500001,-0.023050147332226927,0.03740739404422238,-0.10360874575,0.04504421580000007
1967-06-01,236.1836565875,0.14317439295428933,235.92862899999997,236.49961325,1.869329746825,0.05385494667485498,1.7525820975,1.9661940925,60.72437741975,0.037014280681990315,60.65974325,60.808102000000005,-0.102379647803304,0.14317432350911252,-0.41833684849999997,0.152652164,-0.02452502129586281,0.03701430786015783,-0.10824960374999999,0.040109033650000014
1967-09-01,237.499802425,0.16680496358318705,237.168301,237.851235,1.9139052138,0.061477862782112584,1.7821434875,2.034874195,60.907475769,0.04460119270624206,60.82086965,61.000738874999996,0.011408030004277888,0.16680500455882705,-0.3400281495,0.3429059782500001,0.0112181715406184,0.04460145086763405,-0.082045038475,0.09782382060000007
1967-12-01,237.9244209575,0.1993765817888341,237.5110055,238.31910175,1.771766223125,0.07668939349913206,1.621011215,1.92956134,60.88341779275,0.050734517419314666,60.78189425,60.984227625,0.061152141458546076,0.1993765520755481,-0.333528003,0.47456287450000006,0.01843879410603995,0.05073470943343731,-0.08237092057499999,0.1199622915
1968-03-01,236.29320834,0.2310269171487519,235.81637175,236.757005,1.828389596825,0.08586742759396396,1.6657241250000001,2.0148422125,60.84447580875,0.0591764279895304,60.725219125,60.965331875,0.05877354020454075,0.23102695623784059,-0.40502766450000005,0.5356084725000001,0.013482452822766776,0.05917674880891655,-0.10737635425000001,0.13274005125000007
1968-06-01,239.4332569775,0.28781020592761913,238.85891175,239.93095125000002,1.923184604225,0.10456605039844068,1.7470598025,2.1442567599999998,60.89257832475,0.07571768391609181,60.742433625,61.02465995,0.1909971306670805,0.28781009939262847,-0.30669334824999994,0.7653449135,0.05521045918861325,0.0757179948130739,-0.07687211244999999,0.20535460550000004
1968-09-01,240.0663279125,0.35397882174061995,239.34214325000002,240.6008075,1.912978874475,0.1357879640002295,1.7161294025,2.1918814275000003,60.91703218275,0.08914903654004265,60.73791980000001,61.051742225,0.327160929044438,0.3539788686863762,-0.20731519375,1.05134663,0.08755720245042375,0.08914906796431937,-0.047152561625000006,0.26666979125
1968-12-01,243.182679935,0.458362301666207,242.2648285,244.0082825,1.84920772185,0.17200087736520664,1.589764335,2.1969336125,60.681696258,0.11748131724411451,60.45216075,60.897205225,0.39050695189275275,0.4583621317130628,-0.43510021475000005,1.3083617399999998,0.09700953063905494,0.11748160585058029,-0.1185020545,0.32654438425000004
1969-03-01,241.601658155,0.46489667462901485,240.66939824999997,242.28083375,1.929382885925,0.19334414155532514,1.65635816,2.318489565,60.918500125,0.11116627216417577,60.69670115,61.081230975,0.4752763675406502,0.46489676507181216,-0.20389789325,1.407538085,0.11797626860884565,0.11116618968662734,-0.044754019425,0.3397751957500001
