date,ystar_mean,ystar_sd,ystar_q025,ystar_q975,unrstar_mean,unrstar_sd,unrstar_q025,unrstar_q975,prtstar_mean,prtstar_sd,prtstar_q025,prtstar_q975,cycle_mean,cycle_sd,cycle_q025,cycle_q975,prt_cycle_mean,prt_cycle_sd,prt_cycle_q025,prt_cycle_q975
1966-09-01,233.4886316,0.11146259577209784,233.33585375,233.72936425,1.7416096218,0.039933325771851574,1.6701198825,1.803956185,60.7393094875,0.04219653555455173,60.6657754,60.81568485,-0.145336236936372,0.11146253790377664,-0.38606503925,0.007442682730000023,-0.03033288927431375,0.042196685750411946,-0.10670898975000001,0.043201865049999996
1966-12-01,233.810194795,0.14271682224810125,233.6230415,234.13272425000002,1.6140669599,0.05334834817812629,1.504211905,1.683598865,60.708300286,0.04050799549148156,60.645936975,60.7951756,-0.14306996732457236,0.14271677865349167,-0.465595024,0.044080954200000105,-0.03199254652035225,0.04050824772110281,-0.1188680595,0.030371575575000018
1967-03-01,236.8969995475,0.14468996030348302,236.69638825,237.26024575,1.725962634075,0.05277539460472236,1.6017688049999999,1.7976379050000002,60.72011860275,0.038293432559993235,60.66460155,60.8164221,-0.1105579379521247,0.14468999390198337,-0.47380522725,0.0900523116,-0.0236932951969144,0.03829367949765083,-0.119996559,0.03182401080000002
1967-06-01,236.190414735,0.1585098742781998,235.957727,236.58593224999998,1.865179022975,0.05883437979084498,1.7188470125,1.9535732424999999,60.7259330825,0.04059541705823117,60.660163524999994,60.822814,-0.10913775776854158,0.15850983347031283,-0.504656157,0.12354550500000006,-0.026080676697090688,0.040595492899020334,-0.12296130000000001,0.03968814620000001
1967-09-01,237.5264140775,0.18010631903347538,237.21276600000002,237.97008250000002,1.9064423204,0.06507181004118387,1.74558632,2.0243153025000002,60.913909937,0.04688776840625985,60.8245697,61.0261699,-0.015203648984904087,0.1801064073407791,-0.45887321249999996,0.29844094825,0.004783993233021325,0.0468880144051469,-0.10747754475,0.094125104025
1967-12-01,237.9520052525,0.21486136660740415,237.555347,238.44769624999998,1.761215782375,0.07982870100893,1.5753658875,1.9192518475,60.89003772975,0.05356054242094011,60.784107975000005,61.008473075,0.03356784855603938,0.21486138581290185,-0.46212572074999997,0.43022677025000006,0.011818801113568388,0.053560802872132066,-0.10661776124999998,0.11775025075000002
1968-03-01,236.306868825,0.216030291071031,235.861767,236.7873615,1.818469819025,0.0845885269668122,1.6354656225,1.99397052,60.8472762815,0.05276329824365273,60.734365925,60.957932525,0.04511306186917442,0.21603031502044803,-0.435377247,0.49021814625000015,0.010682029603745122,0.052763390935006205,-0.09997611199999999,0.12359128975
1968-06-01,239.45429352,0.275728392174931,238.882476,239.97273825000002,1.912884226475,0.0992199139910954,1.719226555,2.124825095,60.89712576125,0.07135980108074724,60.75215300000001,61.029404425,0.16996046865970396,0.27572832032314615,-0.34848008049999996,0.7417734545000001,0.05066301116311071,0.07136009375644975,-0.081616459425,0.19563608725
1968-09-01,240.0905154925,0.34766242578316237,239.371944,240.65595375,1.90132592065,0.1302158140823297,1.6794861825,2.172908215,60.92196308225,0.08719831912641497,60.745366925,61.0649411,0.30297346360748584,0.3476624632303747,-0.26246467874999996,1.021540935,0.08262633310243477,0.08719844183569163,-0.06035236605,0.25922420975
1968-12-01,243.199810465,0.43516866406202687,242.29378375000002,243.873957,1.836283710725,0.16548563188934542,1.5825682724999999,2.1791216849999997,60.68530141275,0.11047863618369227,60.455551525000004,60.858015325,0.37337643719425007,0.4351685172548708,-0.30077162425,1.2794060375000003,0.0934043411008854,0.11047886798961215,-0.07931026464999999,0.32315406450000006
